Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"1-к. квартира, 38,9 м², 10/12 эт.",14900000,"Москва, ул. Мнёвники, 10к1",,Пользователь,Пользователь,7334417368,1,9,20.9 м²,8.6 м²,10,12,2.7 м,раздельный,балкон,"на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина","Год постройки, расположение, ремонт и",панельный,1980,2,,детская площадка,открытая во дворе,Жк Город Звёзд,,Продажа от собственника,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49282455,55.77360916",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_389_m_1012_et._7334417368
"1-к. квартира, 30,2 м², 1/9 эт.",7800000,"Москва, ул. Академика Скрябина, 18",7 мая 12:58,ИНКОМ-Недвижимость,ИНКОМ-Недвижимость,7324314196,1,2,18 м²,5.5 м²,1,9,,совмещенный,,во двор,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,", расположение, ремонт и ещё 12 параметров  
Расположение
Москва, ул. Академика Скрябина, 18
Рязанский проспект11",1,нет,Ремонт,,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.79437900,55.70997200",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_302_m_19_et._7324314196
"2-к. квартира, 50,8 м², 17/17 эт.",13450000,"Москва, Новомосковский административный округ, р-н Коммунарка, пр-т Куприна, 24к2",,Пользователь,Пользователь,4659132395,2,8,28.4 м²,10.2 м²,17,17,2.7 м,"совмещенный, раздельный",,"на улицу, на солнечную сторону",евро,,"кухня, хранение одежды",кондиционер,дизайнерский ремонт,панельный,2021,1,1,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47881900,55.54425000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_508_m_1717_et._4659132395
"1-к. квартира, 38,5 м², 8/12 эт.",13500000,"Москва, Веерная ул., 40к3",,Пользователь,Пользователь,7342519682,1,5,18 м²,7 м²,8,12,2.7 м,совмещенный,лоджия,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,панельный,1971,2,,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48530579,55.71282196",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_385_m_812_et._7342519682
"3-к. квартира, 54 м², 5/5 эт.",14500000,"Москва, Нагатинская ул., 27к3",,Пользователь,Пользователь,7387091126,3,54,38 м²,6 м²,5,5,,совмещенный,балкон,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места",кондиционер,дизайнерский ремонт,кирпичный,1960,нет,нет,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65668500,55.67865100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_54_m_55_et._7387091126
"2-к. квартира, 37,8 м², 2/12 эт.",8900000,"Москва, Люблинская ул., 5к6",7 мая 12:58,ИНКОМ-Недвижимость,ИНКОМ-Недвижимость,4573149106,2,8,22.3 м²,6.5 м²,2,12,,раздельный,,во двор,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,1969,2,нет,Ремонт,открытая во дворе,Жк Гармония Парк,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73202700,55.71674700",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_378_m_212_et._4573149106
"Апартаменты-студия, 28 м², 3/17 эт.",11000000,"Москва, Корабельная ул., 6",,Пользователь,Пользователь,7330994660,,28,28 м²,,3,17,3 м,совмещенный,балкон,во двор,евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,монолитный,2020,,3,"детская площадка, спортивная площадка",наземная многоуровневая,"CPOЧНАЯ ПPOДАЖА!!! ЦЕНА HИЖЕ PЫНKA!! В ЖK Бизнeс Kлаcca Pивeр - Парк прeдлагaeтcя aппapтамeнты Cтудия с eвроpeмoнтoм. Этот pайoн c пpeкрacнoй тpaнспоpтной дoступнoстью, кaк нa автoмoбиле ( TTK в 5 минутах eзды). тaк и нa oбщeственнoм тpaнспoрте ( вблизи 3 метро- Коломенская в 10 минутах на общественном транспорте и Нагатинский затон БКЛ, и Кленовый бульвар БКЛ в 10 минутах ходьбы). Привлекателен этот ЖК и тем, что есть своя пешеходная набережная длинной в 2 км. Дворы ЖК оборудованы детскими площадками, лежаками для чтения, зонами отдыха, всего 20 метров и вы на живописной прогулочной набережной. Вся социальная городская инфраструктура в пешей доступности: сетевые магазины, школа, детский сад, поликлиника, кафе, рестораны. До метро БКЛ Нагатинский затон идти 5 минут пешком . Рядом с домом есть многоуровневая парковка, где можно купить или арендовать место для вашего авто. В 10 минутах ходьбы прекрасный парк Коломенский. Есть фитнес-клуб, а также в 26-ом году откроется в ЖК фитнес с бассейном. Также есть остановка речных трамвайчиков, на которых можно прокатиться по вечерней Москве - реке.",,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69530487,55.67906570",https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_28_m_317_et._7330994660
"2-к. квартира, 37,7 м², 8/9 эт.",9700000,"Москва, ул. Малышева, 19",,Пользователь,Пользователь,7326150565,2,7,22.6 м²,6.2 м²,8,9,2.6 м,совмещенный,балкон,на улицу,требует ремонта,,,,дизайнерский ремонт,кирпичный,1969,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.74438246,55.69511228",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_377_m_89_et._7326150565
"3-к. квартира, 60 м², 8/9 эт.",17700000,"Москва, ул. Бутлерова, 2к1",,Пользователь,Пользователь,4079299716,3,60,42 м²,6.6 м²,8,9,2.6 м,раздельный,балкон,"во двор, на улицу",евро,есть,"кухня, хранение одежды, спальные места","кондиционер, посудомоечная машина","Год постройки, расположение, ремонт и",панельный,1967,1,нет,"детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Донской,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52282715,55.65420151",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_60_m_89_et._4079299716
"Квартира-студия, 20 м², 1/10 эт.",5200000,"Москва, Чечёрский пр., 100",,Пользователь,Пользователь,5121947521,,20,15 м²,,1,10,2.6 м,совмещенный,,"во двор, на солнечную сторону",косметический,,,", электрика, ламинат, стены под покраску","Год постройки, расположение, ремонт и",панельный,1998,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Семеновский Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51876700,55.53024747",https://www.avito.ru/moskva/kvartiry/kvartira-studiya_20_m_110_et._5121947521
"3-к. квартира, 60,3 м², 5/9 эт.",12200000,"Москва, Краснодарская ул., 12",28 апреля 20:55,АН Инфинити,АН Инфинити,7326998536,3,3,39.1 м²,8 м²,5,9,2.5 м,раздельный,лоджия,"во двор, на улицу",косметический,,,,"Год постройки, расположение, ремонт и",панельный,", расположение, ремонт и ещё 12 параметров  
Расположение
Москва, Краснодарская ул., 12
Депо11",1,,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.74384000,55.67617900",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_603_m_59_et._7326998536
"1-к. квартира, 43,4 м², 14/25 эт.",16500000,"Москва, Кастанаевская ул., 65",,Пользователь,Пользователь,3842963329,1,4,18.2 м²,10.2 м²,14,25,2.8 м,совмещенный,лоджия,на улицу,евро,есть,,"хорошая, выключатели известной французской фирмы Lеgrаnd.
Метро 5 минут до станции, очень удобная развязка.
Во дворе отличная детская площадка, спортивная площадка.
Рядом прекрасные парки, Москва- река.
Подойдет как для сдачи и комфортного проживания.
Квадратура Без учета лоджии 38,8
Один собственник. Без обременений.
О доме",дизайнерский ремонт,монолитный,2021,2,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Пехра,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45267868,55.73110962",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_434_m_1425_et._3842963329
"2-к. квартира, 46,2 м², 2/12 эт.",11000000,"Москва, 3-й Дорожный пр., 4к2",,Пользователь,Пользователь,7363836159,2,2,31 м²,7 м²,2,12,2.7 м,совмещенный,лоджия,во двор,евро,,кухня,,"Дом после кап.ремонта, чистый подъезд, окна во двор (не на подъезд), фото соответствуют, один собственник, ни кто не прописан, полная стоимость в ДКП. Кухня и Мебель  остаются.",панельный,1972,2,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.61089800,55.60167600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_462_m_212_et._7363836159
"3-к. квартира, 58,5 м², 5/9 эт.",19000000,"Москва, ул. Генерала Антонова, 5к1",,ЖК Генерала Антонова,ЖК Генерала Антонова,7342634931,3,5,,6.6 м²,5,9,,совмещенный,балкон,Ванная комната,евро,,,,Новые,панельный,1968,1,нет,"е
Узнать больше о доме
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк",за шлагбаумом во дворе,ЖК Генерала Антонова,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.53482000,55.64522200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_585_m_59_et._7342634931
"2-к. квартира, 45,5 м², 6/9 эт.",17770000,"Москва, Профсоюзная ул., 99",,Пользователь,Пользователь,7345790646,2,5,29 м²,7 м²,6,9,2.6 м,совмещенный,,во двор,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина","Год постройки, расположение, ремонт и",панельный,1969,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52439880,55.63720322",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_455_m_69_et._7345790646
"1-к. квартира, 33,1 м², 4/12 эт.",11500000,"Москва, Аргуновская ул., 16",,Пользователь,Пользователь,4687512223,1,1,18.7 м²,6.2 м²,4,12,2.7 м,совмещенный,балкон,на улицу,косметический,,"кухня, хранение одежды, спальные места",,"Год постройки, расположение, ремонт и",панельный,1972,2,нет,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.62097700,55.81902900",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_331_m_412_et._4687512223
"2-к. квартира, 60,4 м², 2/17 эт.",21800000,"Москва, Осенний б-р, 20к1",,Пользователь,Пользователь,3755374802,2,4,34 м²,10.2 м²,2,17,2.7 м,совмещенный,лоджия,"во двор, на улицу",дизайнерский,,,,"Пpодaeтcя 2 кв.  c шикарным ремонтом, м Kрылaтское, 5 мин.пешкoм Oсенний бульваp д.20 кopп.1, 2/17  пaнeльного дома , oбщей плoщaдью 60,4 кв.м, c учeтoм бaлконoв и лoджий  площaдь  комнат 34  кв.м, pacпaшонкa  кухни 10,2 кв.м, лoджия, c/у coвмещeнный, пoтoлки 2,65, гoд пoстрoйки 1984 сeрия П-44  . Pядом c дoмом бoльшaя площaдка для паpкoвки aвто. Пoблизocти от домa нaxодитcя вся инфраструктура необходимая для комфортного проживания: школы, детские сады, сетевые магазины, салоны красоты, фитнес центр, медицинский центр. Квартира в отличном  состоянии капитальный современный ремонт, можно заезжать  и жить. Спокойные, интеллигентные соседи. Чистый, ухоженный подъезд, окна на улицу, отличное состояние, лифт: пасс.+ груз., дома, развитая инфраструктура, во дворе прекрасные площадки для детей, сад, школа, магазины, недалеко  ледовый дворец, стадион, парк. Удобные выезды на Звенигородское, Рублёвское, Можайское, Новорижское шоссе свободная продажа, ни кто не прописан  возможна продажа по ипотеке, Один взрослый собственник",панельный,1984,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.40813000,55.76302700",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_604_m_217_et._3755374802
"1-к. квартира, 37,6 м², 11/24 эт.",13900000,"Москва, Западный административный округ, район Солнцево, ул. Татьянин Парк, 19к1",,Пользователь,Пользователь,7336633127,1,6,15.1 м²,9.6 м²,11,24,2.8 м,раздельный,лоджия,во двор,евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",монолитный,2020,2,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42616800,55.65734700",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_376_m_1124_et._7336633127
"1-к. квартира, 33,1 м², 7/9 эт.",11800000,"Москва, Дмитровское ш., 43к1",,Пользователь,Пользователь,7382090730,1,1,18.8 м²,6.8 м²,7,9,,совмещенный,,на улицу,дизайнерский,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,1970,1,,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57167816,55.83369446",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_331_m_79_et._7382090730
"3-к. квартира, 120 м², 3/3 эт.",15000000,"Москва, ул. Академика Семёнова, 81к2",,Пользователь,Пользователь,3954440538,3,120,75 м²,30 м²,3,3,3 м,раздельный,,во двор,евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина","Продаётся 3-х комнатная квартира в элитном поселке Потапово. Евро ремонт, своя парковка, охрана , вся инфраструктура развита, детский сад, школа, магазин, теннисный корт, футбольное поле. Квартира продаётся с мебелью. Собственник.",блочный,2016,,,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Аникеевский,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48813400,55.53906900",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_120_m_33_et._3954440538
"1-к. квартира, 35,3 м², 5/12 эт.",8999000,"Москва, Южнобутовская ул., 62",,Пользователь,Пользователь,7387559104,1,3,18 м²,8 м²,5,12,3 м,раздельный,,на улицу,косметический,,,,В квартире сделан дизайнерский проект и РЕМОНТ НЕ ДО КОНЦА! ЕСТЬ ВСЕ МАТЕРИАЛЫ ДЛЯ ЗАВЕРШЕНИЯ!,панельный,1999,2,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52774100,55.53604300",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_353_m_512_et._7387559104
"2-к. квартира, 52,4 м², 11/14 эт.",8000000,"Москва, Ставропольская ул., 64к1",6 мая 10:03,ПАО СОВКОМБАНК,ПАО СОВКОМБАНК,4065883932,2,4,,8.6 м²,11,14,,совмещенный,лоджия,"во двор, на улицу, на солнечную сторону",косметический,,,,дизайнерский ремонт,панельный,1986,1,,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.77337600,55.68097600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_524_m_1114_et._4065883932
"Апартаменты-студия, 13,5 м², 4/4 эт.",2450000,"Москва, Малахитовая ул., 27Б",7 мая 19:39,Дом,Дом,7365803493,,5,,,4,4,3.2 м,совмещенный,,во двор,требует ремонта,,,,"Год постройки, расположение, ремонт и",кирпичный,1994,нет,нет,Ремонт,открытая во дворе,Жк Преображение,,"Полное юридическое сопровождение. Продажа без ипотеки, без прописки. Оперативные показы, торопитесь у вас есть право выбора по площадям!",свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.66981800,55.83012900",https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_135_m_44_et._7365803493
"2-к. квартира, 37 м², 8/9 эт.",13500000,"Москва, ул. Маршала Тухачевского, 22к1",,Пользователь,Пользователь,7347839497,2,37,22.5 м²,7.5 м²,8,9,2.5 м,совмещенный,балкон,во двор,косметический,,"кухня, хранение одежды","холодильник, стиральная машина","Год постройки, расположение, ремонт и",блочный,1965,1,нет,детская площадка,открытая во дворе,Жк Гармония,,Свободная продажа. Тихий район. Метро откроется рядом в 2026 г. Один взрослый собственник. Никто не прописан. Без обременений. Мебель и техника остаются по желанию покупателя.  Общение ТОЛЬКО через сообщения.,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47758800,55.78419700",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_37_m_89_et._7347839497
"2-к. квартира, 44,9 м², 3/9 эт.",12200000,"Москва, Большая Черкизовская ул., 14к1",,Пользователь,Пользователь,7353674084,2,9,28.2 м²,6.1 м²,3,9,2.6 м,раздельный,балкон,во двор,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,1967,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.72704100,55.79730100",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_449_m_39_et._7353674084
"2-к. квартира, 64,2 м², 3/4 эт.",16200000,"Москва, Средняя Первомайская ул., 12",,Пользователь,Пользователь,7291866524,2,2,35 м²,10 м²,3,4,3.1 м,раздельный,балкон,"во двор, на улицу",косметический,,,,дизайнерский ремонт,кирпичный,1951,,,", на улицу
Ремонт",,Жк Маяковский Воронеж,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.80364900,55.79529700",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_642_m_34_et._7291866524
"2-к. квартира, 31,1 м², 2/5 эт.",11300000,"Москва, пр-т Мира, 131",,Пользователь,Пользователь,7326418996,2,1,20.1 м²,6 м²,2,5,2.6 м,совмещенный,балкон,во двор,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина","Год постройки, расположение, ремонт и",кирпичный,1965,нет,нет,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65043858,55.83202146",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_311_m_25_et._7326418996
"1-к. квартира, 29 м², 3/12 эт.",12500000,"Москва, Ленинградский пр-т, 33А",,Пользователь,Пользователь,7268709698,1,29,22 м²,6 м²,3,12,,совмещенный,лоджия,во двор,евро,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,панельный,,2,,"закрытая территория, детская площадка",за шлагбаумом во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55758286,55.78845596",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_29_m_312_et._7268709698
"1-к. квартира, 36,9 м², 7/9 эт.",8800000,"Москва, ул. Верхние Поля, 27с2",,Пользователь,Пользователь,3609159804,1,9,,10 м²,7,9,,совмещенный,,,косметический,,,,дизайнерский ремонт,панельный,,,,,,Жк Город Звёзд,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.75303800,55.66737600",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_369_m_79_et._3609159804
"2-к. квартира, 39 м², 4/6 эт.",16700000,"Москва, Новорязанская ул., 2/7",,Пользователь,Пользователь,7330315371,2,39,25.4 м²,6.5 м²,4,6,2.9 м,раздельный,,"во двор, на улицу",требует ремонта,,,"холодильник, стиральная машина","Год постройки, расположение, ремонт и",кирпичный,1895,1,нет,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Маяковский Воронеж,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65518500,55.77135300",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_39_m_46_et._7330315371
"2-к. квартира, 58 м², 8/19 эт.",19300000,"Москва, б-р Яна Райниса, 4к3",8 мая 20:25,Silver Horizon Estates,Silver Horizon Estates,7319499798,2,58,,10 м²,8,19,3 м,совмещенный,,на солнечную сторону,евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,монолитный,2019,2,1,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе, за шлагбаумом во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43002200,55.85363200",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_58_m_819_et._7319499798
"1-к. квартира, 31,8 м², 8/9 эт.",11000000,"Москва, Беломорская ул., 7к1",,Пользователь,Пользователь,4517079642,1,8,19 м²,6 м²,8,9,2.6 м,совмещенный,балкон,во двор,косметический,,"кухня, хранение одежды","холодильник, стиральная машина","Год постройки, расположение, ремонт и",блочный,1962,1,нет,детская площадка,открытая во дворе,Жк Аквамарин,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47040100,55.86628300",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_318_m_89_et._4517079642
"2-к. квартира, 56 м², 6/18 эт.",12300000,"Москва, ул. Вертолётчиков, 21к4",,Пользователь,Пользователь,7369703199,2,56,23 м²,19 м²,6,18,2.7 м,"совмещенный, раздельный",,во двор,евро,,,,"Год постройки, расположение, ремонт и",монолитный,2022,2,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.92974774,55.71261445",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_56_m_618_et._7369703199
"Квартира-студия, 15 м², 1/9 эт.",5700000,"Москва, Кастанаевская ул., 5",,Г.Ш.,Г.Ш.,7236219349,,15,,,1,9,2.6 м,совмещенный,,во двор,евро,,,,"Год постройки, расположение, ремонт и",панельный,1968,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Семеновский Парк,,Продажа за наличный расчёт.,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49647900,55.73946300",https://www.avito.ru/moskva/kvartiry/kvartira-studiya_15_m_19_et._7236219349
"2-к. квартира, 60 м², 2/17 эт.",15300000,"Москва, Новомосковский административный округ, р-н Коммунарка, пос. Коммунарка, ул. Александры Монаховой, 84к3",,Пользователь,Пользователь,7249683920,2,60,23.2 м²,21.3 м²,2,17,2.6 м,"совмещенный, раздельный",,"во двор, на солнечную сторону",евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина","Год постройки, расположение, ремонт и",панельный,2020,1,1,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48231300,55.54568600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_60_m_217_et._7249683920
"2-к. квартира, 50 м², 16/22 эт.",14600000,"Московская обл., Одинцовский г.о., рп. Новоивановское, б-р Эйнштейна, 3",,Атрясин Павел Александрович,Атрясин Павел Александрович,7355712165,2,50,22 м²,14 м²,16,22,2.6 м,раздельный,,"на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Год постройки, расположение, ремонт и",монолитно-кирпичный,2022,1,1,"детская площадка, спортивная площадка",подземная,Жк Сердце Ростова,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.36285237,55.70132445",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_50_m_1622_et._7355712165
"1-к. квартира, 32 м², 1/5 эт.",7900000,"Москва, Рязанский пр-т, 81/1",,АН ПЕРВЫЙ РЯЗАНСКИЙ,АН ПЕРВЫЙ РЯЗАНСКИЙ,4874384822,1,32,20 м²,6 м²,1,5,2.5 м,совмещенный,,"во двор, на улицу",требует ремонта,,кухня,"холодильник, стиральная машина",дизайнерский ремонт,кирпичный,1962,нет,нет,"детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Кедровый Лиски,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.79698400,55.71747200",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_32_m_15_et._4874384822
